Percent in Training,DT,SVM RBF,DT w/ Bagging,RF,RF w/ Boosting
10,0.3271022791063209,0.33313685865049963,0.31388233973279445,0.30894240485011787,0.3404625575390143
20,0.32287094635132146,0.3232182891786921,0.3080930878777353,0.30714578925763364,0.3173450377340617
30,0.32081123019739455,0.3133051856663419,0.2980404893363646,0.2917974811446718,0.27454801342427193
40,0.3203519703603907,0.3056584708656113,0.2827130346918154,0.2800606264735601,0.2548837992590098
50,0.3136462385691911,0.29692315465063407,0.3007628959733239,0.2931844591522255,0.27454150457232357
60,0.3019892642879697,0.2906220397852858,0.27849700031575625,0.2711083043890117,0.22993369119040102
70,0.307005725833614,0.2858706635230717,0.27761872684405525,0.27214550353654426,0.22246547659144494
80,0.3122000505178075,0.2720383935337206,0.27721646880525386,0.27178580449608486,0.21811063399848446
90,0.29754988633493307,0.2649659004799192,0.26749179085627683,0.26648143470573377,0.20459712048497095
